Name,Tag,Town Hall,Wars Participated,Number of Attacks,Attack Percentage,Total Stars,Avg. Stars,True Stars,Avg. True Stars,Total Dest,Avg Dest,Three Stars,Two Stars,One Stars,Zero Stars,Missed,Total Defenses,Defensive Stars,Avg. Defensive Stars,Total Defensive Destruction,Avg Defensive Destruction,Lower TH Hits (Dips),Upper TH Hits (Reaches),Avg. Target Position,Avg. Target Distance,cwl_month,cwl_year
Quamix,#P2YV92UG,18.0,7.0,6.0,"85,71",18.0,3,18.0,3,600.0,100,6.0,0.0,0.0,0.0,1.0,7.0,14.0,2,619.0,"88,43",0.0,0.0,"7,33","2,83",Febrero,2026
eldavidelacosta,#Q0YJ82VY9,17.0,6.0,6.0,100,18.0,3,18.0,3,600.0,100,6.0,0.0,0.0,0.0,0.0,6.0,15.0,"2,50",518.0,"86,33",2.0,2.0,"27,17","-2,83",Febrero,2026
Aarone,#R28G80UC,18.0,7.0,7.0,100,17.0,"2,43",17.0,"2,43",668.0,"95,43",4.0,2.0,1.0,0.0,0.0,7.0,15.0,"2,14",547.0,"78,14",2.0,0.0,"14,71","-1,14",Febrero,2026
juangenjo,#20YLPG0U8,18.0,7.0,7.0,100,16.0,"2,29",16.0,"2,29",637.0,91,3.0,3.0,1.0,0.0,0.0,7.0,15.0,"2,14",577.0,"82,43",1.0,0.0,"11,14","3,29",Febrero,2026
BOQ_ELOY,#2LRQC8PR,18.0,7.0,7.0,100,16.0,"2,29",16.0,"2,29",611.0,"87,29",2.0,5.0,0.0,0.0,0.0,7.0,16.0,"2,29",580.0,"82,86",1.0,0.0,"14,71","1,29",Febrero,2026
BOQ_Esponja,#22Q022080,18.0,6.0,6.0,100,16.0,"2,67",16.0,"2,67",569.0,"94,83",4.0,2.0,0.0,0.0,0.0,6.0,16.0,"2,67",571.0,"95,17",1.0,0.0,8,"4,67",Febrero,2026
Chechunat,#2GRCLQY0C,18.0,6.0,6.0,100,16.0,"2,67",16.0,"2,67",561.0,"93,50",4.0,2.0,0.0,0.0,0.0,6.0,14.0,"2,33",555.0,"92,50",0.0,0.0,"12,17",-1,Febrero,2026
TJ,#8PY922882,18.0,7.0,7.0,100,15.0,"2,14",13.0,"1,86",655.0,"93,57",2.0,4.0,1.0,0.0,0.0,6.0,13.0,"2,17",517.0,"86,17",0.0,0.0,"6,14","2,29",Febrero,2026
DavidP,#GLCJV0L9Q,18.0,7.0,7.0,100,15.0,"2,14",15.0,"2,14",652.0,"93,14",2.0,4.0,1.0,0.0,0.0,7.0,14.0,2,568.0,"81,14",0.0,0.0,7,"-7,86",Febrero,2026
G.A.CHRISTIAN,#2GQGVV2RL,18.0,6.0,6.0,100,15.0,"2,50",15.0,"2,50",545.0,"90,83",3.0,3.0,0.0,0.0,0.0,4.0,11.0,"2,75",378.0,"94,50",2.0,0.0,"15,83","7,33",Febrero,2026
gian,#GV00GLQU,18.0,6.0,6.0,100,15.0,"2,50",15.0,"2,50",527.0,"87,83",3.0,3.0,0.0,0.0,0.0,6.0,15.0,"2,50",545.0,"90,83",0.0,0.0,"10,67","0,33",Febrero,2026
alvaro10,#G800RRC,18.0,6.0,6.0,100,14.0,"2,33",14.0,"2,33",533.0,"88,83",2.0,4.0,0.0,0.0,0.0,6.0,12.0,2,497.0,"82,83",1.0,0.0,"14,17","2,50",Febrero,2026
G.A.KRAITTOR,#QPQP9LGQ,18.0,6.0,6.0,100,14.0,"2,33",14.0,"2,33",530.0,"88,33",3.0,2.0,1.0,0.0,0.0,6.0,15.0,"2,50",577.0,"96,17",0.0,0.0,"5,33","3,83",Febrero,2026
Fbregas97,#98P08VJ,18.0,6.0,6.0,100,13.0,"2,17",13.0,"2,17",507.0,"84,50",2.0,3.0,1.0,0.0,0.0,6.0,11.0,"1,83",491.0,"81,83",0.0,0.0,"13,83","-7,17",Febrero,2026
irina,#8URVRLPG,18.0,6.0,6.0,100,13.0,"2,17",13.0,"2,17",489.0,"81,50",1.0,5.0,0.0,0.0,0.0,5.0,10.0,2,437.0,"87,40",2.0,0.0,22,"3,83",Febrero,2026
BOQ_TJ,#9GGCGPCVR,18.0,6.0,6.0,100,12.0,2,12.0,2,566.0,"94,33",2.0,2.0,2.0,0.0,0.0,6.0,15.0,"2,50",551.0,"91,83",0.0,0.0,"6,83","-0,17",Febrero,2026
iTsArtetxe,#9CYLR0C80,18.0,6.0,6.0,100,12.0,2,12.0,2,524.0,"87,33",1.0,4.0,1.0,0.0,0.0,6.0,16.0,"2,67",589.0,"98,17",0.0,0.0,"13,50","-0,67",Febrero,2026
wilson,#9JJJ9GGV,18.0,5.0,5.0,100,11.0,"2,20",11.0,"2,20",422.0,"84,40",2.0,2.0,1.0,0.0,0.0,5.0,13.0,"2,60",482.0,"96,40",2.0,0.0,"27,40","-1,20",Febrero,2026
Sotoca,#GV2VJQJQ,18.0,5.0,5.0,100,11.0,"2,20",11.0,"2,20",416.0,"83,20",1.0,4.0,0.0,0.0,0.0,5.0,11.0,"2,20",392.0,"78,40",1.0,0.0,"21,60","-5,80",Febrero,2026
KRAITOR,#29JQY28YV,18.0,4.0,4.0,100,9.0,"2,25",9.0,"2,25",379.0,"94,75",2.0,1.0,1.0,0.0,0.0,4.0,8.0,2,351.0,"87,75",3.0,0.0,24,"0,25",Febrero,2026
CarloSPQR,#88L0GQPU,18.0,4.0,4.0,100,9.0,"2,25",9.0,"2,25",345.0,"86,25",1.0,3.0,0.0,0.0,0.0,4.0,11.0,"2,75",392.0,98,0.0,0.0,"2,25","1,25",Febrero,2026
Diego03,#YQRCJY8PP,18.0,4.0,4.0,100,8.0,2,8.0,2,309.0,"77,25",0.0,4.0,0.0,0.0,0.0,3.0,7.0,"2,33",273.0,91,0.0,0.0,"7,25",0,Febrero,2026
Manolo 72,#L008V9LR,18.0,4.0,3.0,75,7.0,"2,33",7.0,"2,33",285.0,95,1.0,2.0,0.0,0.0,1.0,4.0,12.0,3,400.0,100,1.0,0.0,"16,67","-2,33",Febrero,2026
Jfont033,#2CC089GQ,18.0,3.0,3.0,100,7.0,"2,33",7.0,"2,33",236.0,"78,67",1.0,2.0,0.0,0.0,0.0,3.0,9.0,3,300.0,100,1.0,0.0,"12,67",-9,Febrero,2026
Molina !,#U98R89R0,18.0,3.0,3.0,100,5.0,"1,67",5.0,"1,67",244.0,"81,33",0.0,2.0,1.0,0.0,0.0,3.0,5.0,"1,67",209.0,"69,67",0.0,0.0,"6,33","0,67",Febrero,2026
